payment_id,college_id,company_id,amount,payment_date,payment_type,status
174,57.0,,150000.0,2024-02-09,Subscription,Success
175,,59.0,61852.75,2026-05-14,Job-Posting Fee,Success
176,,81.0,8009.46,2024-10-24,Premium Listing,Success
177,,865.0,25358.85,2023-09-17,Premium Listing,Success
178,31.0,138.0,76000.0,2026-03-12,Placement Fee,Success
179,4.0,358.0,36800.0,2025-11-19,Placement Fee,Success
180,19.0,,25000.0,2025-12-10,Subscription,Success
181,,269.0,38916.19,2024-02-25,Premium Listing,Success
182,17.0,,25000.0,2024-03-24,Subscription,Success
183,63.0,,100000.0,2024-08-05,Subscription,Pending
184,,613.0,12013.41,2024-10-07,Premium Listing,Success
185,20.0,,25000.0,2024-01-27,Subscription,Success
186,,962.0,35415.22,2024-10-13,Job-Posting Fee,Success
187,22.0,533.0,27440.0,2025-01-22,Placement Fee,Success
188,71.0,655.0,27600.0,2025-04-18,Placement Fee,Success
189,9.0,429.0,88480.0,2025-07-01,Placement Fee,Failed
190,90.0,,25000.0,2024-12-31,Subscription,Refunded
191,3.0,,150000.0,2025-10-06,Subscription,Success
192,,440.0,31340.24,2025-08-16,Job-Posting Fee,Success
193,6.0,,150000.0,2025-03-14,Subscription,Success
194,,365.0,33768.8,2026-02-28,Premium Listing,Success
195,,735.0,42873.56,2025-06-09,Premium Listing,Success
196,7.0,195.0,62560.0,2026-06-11,Placement Fee,Success
197,83.0,296.0,24160.0,2023-11-27,Placement Fee,Success
198,79.0,,150000.0,2023-09-02,Subscription,Success
199,90.0,,25000.0,2023-09-18,Subscription,Success
200,60.0,647.0,111760.0,2023-10-06,Placement Fee,Failed
201,7.0,480.0,64240.0,2025-03-25,Placement Fee,Failed
202,,76.0,26572.95,2026-02-09,Job-Posting Fee,Success
203,,897.0,72915.83,2023-10-05,Premium Listing,Success
204,72.0,,150000.0,2023-12-29,Subscription,Success
205,24.0,560.0,37280.0,2025-11-04,Placement Fee,Pending
206,,180.0,18591.97,2023-09-05,Job-Posting Fee,Success
207,72.0,396.0,80880.0,2026-03-18,Placement Fee,Success
208,25.0,119.0,42800.0,2025-10-14,Placement Fee,Success
209,30.0,622.0,36000.0,2025-09-07,Placement Fee,Success
210,,904.0,21650.69,2025-06-02,Premium Listing,Success
211,,590.0,48298.54,2024-01-01,Premium Listing,Success
212,,232.0,6892.3,2026-06-22,Premium Listing,Success
213,,896.0,32124.06,2025-04-22,Premium Listing,Refunded
214,61.0,,150000.0,2024-05-29,Subscription,Success
215,,788.0,33507.59,2026-02-27,Job-Posting Fee,Success
216,,869.0,51249.54,2026-06-06,Premium Listing,Refunded
217,66.0,119.0,119040.0,2026-04-15,Placement Fee,Success
218,,609.0,52556.88,2023-10-06,Job-Posting Fee,Success
219,3.0,243.0,139680.0,2024-03-12,Placement Fee,Success
220,95.0,661.0,49600.0,2024-11-25,Placement Fee,Success
221,48.0,377.0,63520.0,2024-07-19,Placement Fee,Success
222,,274.0,74884.24,2026-04-19,Premium Listing,Success
223,36.0,153.0,28800.0,2025-12-03,Placement Fee,Success
224,47.0,,25000.0,2026-03-15,Subscription,Success
225,,281.0,12902.5,2024-04-20,Premium Listing,Success
226,46.0,,100000.0,2026-03-02,Subscription,Failed
227,72.0,233.0,19200.0,2024-08-01,Placement Fee,Success
228,55.0,,100000.0,2023-08-21,Subscription,Success
229,50.0,,50000.0,2024-05-14,Subscription,Success
230,9.0,490.0,40720.0,2026-03-11,Placement Fee,Success
231,21.0,228.0,36160.0,2024-03-29,Placement Fee,Success
232,35.0,,50000.0,2024-07-07,Subscription,Success
233,24.0,536.0,85200.0,2026-03-28,Placement Fee,Success
234,45.0,460.0,70080.0,2024-08-14,Placement Fee,Success
235,96.0,888.0,40160.0,2025-04-29,Placement Fee,Success
236,25.0,,100000.0,2024-02-22,Subscription,Success
237,27.0,,100000.0,2025-06-10,Subscription,Success
238,,181.0,36412.11,2025-09-26,Job-Posting Fee,Success
239,,78.0,8871.11,2024-06-16,Premium Listing,Success
240,,423.0,18819.49,2026-05-22,Job-Posting Fee,Success
241,38.0,965.0,35200.0,2024-01-29,Placement Fee,Success
242,,65.0,58567.77,2025-12-16,Job-Posting Fee,Success
243,,645.0,13085.91,2025-12-25,Job-Posting Fee,Pending
244,38.0,,150000.0,2025-02-23,Subscription,Success
245,,72.0,63253.26,2026-01-21,Job-Posting Fee,Success
246,1.0,,50000.0,2025-12-05,Subscription,Success
247,84.0,733.0,63920.0,2026-03-13,Placement Fee,Success
248,,180.0,26105.39,2025-08-02,Job-Posting Fee,Success
249,20.0,513.0,28160.0,2026-01-20,Placement Fee,Success
250,10.0,,150000.0,2026-05-26,Subscription,Success
251,4.0,924.0,30000.0,2026-05-08,Placement Fee,Success
252,,397.0,37203.06,2025-09-15,Job-Posting Fee,Success
253,88.0,822.0,41440.0,2024-06-30,Placement Fee,Success
254,,955.0,54932.77,2025-12-04,Job-Posting Fee,Success
255,23.0,,150000.0,2023-06-15,Subscription,Success
256,6.0,28.0,50560.0,2025-05-17,Placement Fee,Success
257,33.0,852.0,61520.0,2024-09-15,Placement Fee,Success
258,95.0,,25000.0,2024-08-12,Subscription,Success
259,,257.0,66143.42,2025-06-20,Job-Posting Fee,Success
260,69.0,264.0,23280.0,2023-10-29,Placement Fee,Success
261,98.0,,100000.0,2025-06-13,Subscription,Success
262,94.0,34.0,29760.0,2025-01-24,Placement Fee,Success
263,16.0,,150000.0,2024-01-16,Subscription,Success
264,15.0,,50000.0,2025-09-29,Subscription,Success
265,7.0,432.0,44720.0,2025-12-28,Placement Fee,Pending
266,,326.0,44800.14,2025-03-08,Job-Posting Fee,Success
267,58.0,347.0,28720.0,2025-10-18,Placement Fee,Success
268,4.0,925.0,35840.0,2023-08-12,Placement Fee,Pending
269,13.0,,100000.0,2024-04-18,Subscription,Pending
270,10.0,,50000.0,2025-06-02,Subscription,Refunded
271,,331.0,69776.84,2026-06-19,Job-Posting Fee,Success
272,54.0,343.0,64160.0,2025-04-17,Placement Fee,Success
273,32.0,,25000.0,2025-06-15,Subscription,Pending
274,,69.0,25722.1,2024-03-30,Premium Listing,Success
275,59.0,158.0,49840.0,2026-03-23,Placement Fee,Success
276,,218.0,26918.32,2025-01-28,Job-Posting Fee,Success
277,,474.0,62609.96,2026-02-05,Job-Posting Fee,Success
278,,549.0,45974.04,2025-08-28,Premium Listing,Success
279,39.0,,150000.0,2026-03-08,Subscription,Success
280,,376.0,60118.76,2024-03-02,Job-Posting Fee,Success
281,,949.0,36068.2,2025-10-07,Job-Posting Fee,Success
282,,395.0,10381.45,2024-07-18,Premium Listing,Failed
283,81.0,,50000.0,2024-04-04,Subscription,Success
284,,76.0,63380.02,2025-08-25,Job-Posting Fee,Success
285,37.0,881.0,78320.0,2024-03-13,Placement Fee,Success
286,74.0,471.0,24160.0,2024-04-10,Placement Fee,Success
287,89.0,355.0,21440.0,2023-07-28,Placement Fee,Success
288,,985.0,12859.48,2024-09-20,Job-Posting Fee,Success
289,,205.0,67453.39,2025-03-29,Job-Posting Fee,Success
290,82.0,667.0,62080.0,2026-05-07,Placement Fee,Success
291,,675.0,33561.06,2023-11-18,Premium Listing,Success
292,,706.0,16027.79,2025-11-08,Job-Posting Fee,Success
293,61.0,,100000.0,2024-03-09,Subscription,Success
294,,480.0,68288.24,2026-01-14,Job-Posting Fee,Failed
295,44.0,164.0,57680.0,2023-09-29,Placement Fee,Pending
296,,122.0,48010.39,2024-01-01,Job-Posting Fee,Success
297,77.0,243.0,28400.0,2025-06-20,Placement Fee,Pending
298,,564.0,22095.44,2026-06-23,Job-Posting Fee,Success
299,43.0,,100000.0,2023-07-17,Subscription,Success
300,49.0,555.0,22000.0,2025-07-25,Placement Fee,Success
301,8.0,441.0,27840.0,2024-02-12,Placement Fee,Success
302,,306.0,41714.73,2025-04-20,Premium Listing,Success
303,,568.0,64005.25,2025-07-04,Job-Posting Fee,Success
304,24.0,,50000.0,2024-05-09,Subscription,Success
305,,577.0,23774.18,2026-02-09,Job-Posting Fee,Success
306,21.0,367.0,54080.0,2023-08-09,Placement Fee,Success
307,85.0,577.0,81360.0,2026-04-08,Placement Fee,Refunded
308,,606.0,57957.64,2025-06-25,Job-Posting Fee,Success
309,22.0,955.0,84480.0,2026-06-30,Placement Fee,Success
310,97.0,,50000.0,2026-01-12,Subscription,Success
311,,298.0,64506.87,2025-05-15,Premium Listing,Success
312,,719.0,36160.77,2026-06-13,Job-Posting Fee,Success
313,,504.0,60964.19,2026-05-19,Job-Posting Fee,Success
314,59.0,,25000.0,2024-10-15,Subscription,Success
315,100.0,243.0,32640.0,2026-01-20,Placement Fee,Success
316,,602.0,30436.09,2025-08-04,Job-Posting Fee,Success
317,42.0,,150000.0,2024-08-07,Subscription,Pending
318,42.0,928.0,30240.0,2025-05-23,Placement Fee,Success
319,,577.0,55311.76,2025-03-11,Job-Posting Fee,Failed
320,21.0,322.0,55520.0,2026-02-15,Placement Fee,Success
321,66.0,119.0,119040.0,2026-05-03,Placement Fee,Failed
322,21.0,375.0,69280.0,2025-07-23,Placement Fee,Success
323,35.0,535.0,25520.0,2025-02-06,Placement Fee,Failed
324,59.0,286.0,42720.0,2026-01-26,Placement Fee,Success
325,,84.0,70007.2,2024-12-13,Job-Posting Fee,Success
326,84.0,11.0,60800.0,2025-03-20,Placement Fee,Success
327,,687.0,56332.53,2025-02-13,Premium Listing,Success
328,,686.0,59619.99,2025-02-13,Job-Posting Fee,Success
329,52.0,,25000.0,2025-06-20,Subscription,Success
330,70.0,248.0,58960.0,2023-11-23,Placement Fee,Success
331,65.0,,25000.0,2023-11-27,Subscription,Failed
332,66.0,289.0,63200.0,2025-07-02,Placement Fee,Success
333,,276.0,59434.88,2024-03-19,Job-Posting Fee,Success
334,41.0,825.0,46240.0,2026-02-12,Placement Fee,Success
335,,224.0,61410.0,2024-10-24,Job-Posting Fee,Pending
336,47.0,939.0,42240.0,2026-06-05,Placement Fee,Refunded
337,12.0,640.0,46880.0,2025-02-02,Placement Fee,Pending
338,,454.0,42967.91,2025-04-10,Job-Posting Fee,Success
339,,139.0,49359.45,2026-01-13,Premium Listing,Success
340,34.0,,50000.0,2023-12-29,Subscription,Success
341,53.0,,150000.0,2024-04-30,Subscription,Success
342,9.0,,100000.0,2023-08-30,Subscription,Success
343,71.0,,150000.0,2024-08-20,Subscription,Success
344,,42.0,38386.12,2025-12-10,Job-Posting Fee,Success
345,,406.0,19450.05,2025-10-18,Job-Posting Fee,Success
346,,168.0,65019.1,2024-06-25,Job-Posting Fee,Success
347,97.0,610.0,35680.0,2025-05-30,Placement Fee,Success
348,32.0,587.0,46800.0,2024-02-17,Placement Fee,Failed
349,33.0,712.0,66960.0,2025-06-24,Placement Fee,Success
350,59.0,461.0,71040.0,2025-01-08,Placement Fee,Success
351,,905.0,45724.38,2024-11-10,Premium Listing,Pending
352,88.0,106.0,33760.0,2026-02-06,Placement Fee,Success
353,43.0,,25000.0,2026-02-19,Subscription,Success
354,99.0,32.0,36000.0,2025-01-24,Placement Fee,Pending
355,89.0,,50000.0,2024-06-03,Subscription,Pending
356,,145.0,29241.54,2025-05-25,Premium Listing,Success
357,20.0,,50000.0,2023-06-26,Subscription,Success
358,,162.0,24261.73,2025-09-22,Job-Posting Fee,Success
359,43.0,,100000.0,2025-11-10,Subscription,Success
360,,146.0,40144.1,2026-06-06,Job-Posting Fee,Failed
361,7.0,,25000.0,2023-07-13,Subscription,Success
362,74.0,403.0,22480.0,2024-06-14,Placement Fee,Success
363,,446.0,46350.17,2025-07-11,Job-Posting Fee,Success
364,16.0,539.0,40000.0,2025-06-24,Placement Fee,Success
365,,525.0,17468.27,2024-01-05,Premium Listing,Success
366,89.0,296.0,52000.0,2024-11-18,Placement Fee,Success
367,59.0,930.0,53840.0,2024-07-14,Placement Fee,Success
368,,673.0,30985.82,2026-06-18,Premium Listing,Pending
369,,507.0,53284.59,2025-02-17,Premium Listing,Success
370,23.0,699.0,60800.0,2025-05-16,Placement Fee,Success
371,47.0,,50000.0,2025-06-05,Subscription,Success
372,28.0,,25000.0,2025-05-18,Subscription,Success
373,2.0,953.0,22400.0,2023-09-14,Placement Fee,Failed
374,17.0,823.0,50960.0,2025-12-03,Placement Fee,Success
375,26.0,462.0,38000.0,2025-12-03,Placement Fee,Success
376,94.0,808.0,32480.0,2026-01-18,Placement Fee,Success
377,,206.0,24668.2,2025-06-08,Premium Listing,Success
378,98.0,731.0,34240.0,2026-06-06,Placement Fee,Failed
379,44.0,,150000.0,2024-08-08,Subscription,Success
380,,630.0,27647.9,2025-01-04,Premium Listing,Success
381,,992.0,69213.07,2024-01-24,Premium Listing,Success
382,19.0,878.0,77680.0,2026-01-21,Placement Fee,Success
383,,254.0,72671.07,2025-09-16,Job-Posting Fee,Success
384,8.0,974.0,52960.0,2026-05-30,Placement Fee,Success
385,92.0,,50000.0,2024-11-10,Subscription,Success
386,27.0,,50000.0,2024-01-23,Subscription,Success
387,46.0,721.0,92160.0,2026-06-25,Placement Fee,Success
388,4.0,,100000.0,2026-01-23,Subscription,Success
389,31.0,532.0,90400.0,2026-01-05,Placement Fee,Success
390,60.0,749.0,59680.0,2026-06-22,Placement Fee,Success
391,33.0,209.0,43920.0,2024-07-07,Placement Fee,Success
392,,761.0,14826.33,2024-05-26,Job-Posting Fee,Success
393,,311.0,25593.08,2025-03-14,Job-Posting Fee,Success
394,8.0,,150000.0,2025-01-12,Subscription,Success
395,45.0,,100000.0,2024-01-14,Subscription,Failed
396,98.0,,100000.0,2025-05-11,Subscription,Success
397,,190.0,49297.4,2023-12-03,Job-Posting Fee,Success
398,16.0,944.0,78880.0,2025-11-26,Placement Fee,Refunded
399,91.0,,150000.0,2025-08-22,Subscription,Success
400,37.0,,150000.0,2026-04-22,Subscription,Success
401,11.0,496.0,56320.0,2024-05-23,Placement Fee,Success
402,4.0,,50000.0,2024-01-05,Subscription,Success
403,79.0,327.0,50960.0,2024-04-19,Placement Fee,Success
404,87.0,991.0,50240.0,2023-07-22,Placement Fee,Success
405,100.0,,50000.0,2026-06-04,Subscription,Success
406,,8.0,61451.69,2025-01-12,Job-Posting Fee,Success
407,50.0,,150000.0,2025-03-01,Subscription,Failed
408,,875.0,27300.62,2026-04-25,Premium Listing,Pending
409,13.0,,50000.0,2025-07-07,Subscription,Success
410,,143.0,11162.53,2026-05-25,Job-Posting Fee,Success
411,,256.0,5063.72,2026-05-17,Premium Listing,Success
412,99.0,,150000.0,2025-10-16,Subscription,Success
413,,62.0,32373.29,2026-06-29,Premium Listing,Success
414,,864.0,52441.94,2025-08-28,Job-Posting Fee,Success
415,34.0,,50000.0,2024-07-21,Subscription,Success
416,20.0,,150000.0,2024-08-17,Subscription,Failed
417,70.0,813.0,41920.0,2025-11-10,Placement Fee,Success
418,9.0,,50000.0,2025-12-09,Subscription,Success
419,19.0,823.0,43840.0,2026-01-03,Placement Fee,Success
420,49.0,823.0,42880.0,2025-11-19,Placement Fee,Success
421,,962.0,39563.14,2024-02-12,Job-Posting Fee,Success
422,79.0,800.0,64320.0,2025-02-10,Placement Fee,Success
423,,505.0,56538.55,2024-04-16,Job-Posting Fee,Failed
424,31.0,,50000.0,2024-06-02,Subscription,Success
425,77.0,,100000.0,2024-07-13,Subscription,Success
426,19.0,,150000.0,2026-03-02,Subscription,Success
427,,306.0,64203.87,2023-10-18,Job-Posting Fee,Success
428,,391.0,24906.87,2025-02-07,Job-Posting Fee,Success
429,5.0,583.0,101920.0,2024-02-07,Placement Fee,Success
430,,285.0,12419.03,2026-06-15,Job-Posting Fee,Success
431,37.0,,50000.0,2025-11-20,Subscription,Success
432,47.0,68.0,46560.0,2026-06-30,Placement Fee,Success
433,93.0,,100000.0,2025-01-15,Subscription,Success
434,21.0,957.0,20240.0,2025-07-26,Placement Fee,Success
435,,235.0,67966.2,2026-05-01,Job-Posting Fee,Success
436,,247.0,40272.03,2023-10-21,Premium Listing,Success
437,,742.0,56686.78,2025-07-17,Premium Listing,Success
438,,767.0,9083.62,2024-08-03,Job-Posting Fee,Failed
439,,859.0,63891.91,2023-09-19,Premium Listing,Success
440,61.0,471.0,35840.0,2025-05-11,Placement Fee,Success
441,56.0,,150000.0,2024-03-25,Subscription,Success
442,,823.0,31394.15,2026-01-01,Premium Listing,Success
443,29.0,283.0,34320.0,2024-01-11,Placement Fee,Success
444,88.0,,50000.0,2025-04-15,Subscription,Success
445,17.0,4.0,25520.0,2026-03-08,Placement Fee,Success
446,58.0,,25000.0,2026-04-01,Subscription,Success
447,88.0,822.0,41440.0,2024-06-14,Placement Fee,Success
448,,174.0,45262.74,2023-11-16,Premium Listing,Success
449,,207.0,9089.78,2024-02-28,Job-Posting Fee,Pending
450,,352.0,68266.06,2023-10-26,Job-Posting Fee,Failed
451,,126.0,23330.22,2023-09-03,Job-Posting Fee,Success
452,21.0,322.0,55520.0,2026-02-27,Placement Fee,Success
453,22.0,,150000.0,2024-01-02,Subscription,Success
454,45.0,272.0,29440.0,2024-06-21,Placement Fee,Success
455,,662.0,27694.98,2026-03-20,Job-Posting Fee,Success
456,6.0,957.0,20480.0,2025-07-08,Placement Fee,Success
457,,44.0,66077.74,2024-11-04,Job-Posting Fee,Success
458,,113.0,15771.87,2024-10-18,Job-Posting Fee,Success
459,74.0,595.0,27360.0,2025-01-10,Placement Fee,Success
460,93.0,,150000.0,2024-09-29,Subscription,Success
